birds,construction,dogs,human,music,nature,siren,vehicles,P_inst,P_intg,E_inst,E_intg,leq,LAeq,date_time,elapsed_time
0.042085728737448515,0.07605954498440119,0.054458908952910355,0.04404378930599455,0.09594286933283887,0.20761566204205845,0.12922567095726878,0.9467159340466558,0.055401935651173566,0.055401935651173566,-0.1507656924336399,-0.1507656924336399,68.76325164929233,67.98,2025-04-01T09:40:51+02:00,0
0.02965617443381994,0.1128811064642376,0.07865957142293264,0.06769607186943936,0.031113542501891214,0.3534273580289173,0.21333789425171273,0.9901094166472243,-0.10690355937288493,0.030820706748624967,-0.08064724608053074,-0.14790614451274306,75.08655075916833,74.73,2025-04-01T09:40:54+02:00,3
0.08388902047386083,0.06098092153056698,0.02349634134385052,0.02027308437174704,0.12928074859195882,0.22974205809443507,0.1281457057336888,0.9999976775114183,0.03385371533761602,-0.07768608725280263,-0.23266925180652484,-0.005228474983079363,64.4273144863984,64.0,2025-04-01T09:40:57+02:00,6
0.037104324937868534,0.20670732930307398,0.17214486455738606,0.5,0.05729091818226197,0.31768160453775923,0.318774937405887,0.08484470743340801,-0.21230549502405846,-0.12559223176554563,0.23535533905932735,0.01994498568501486,79.92844939344114,79.73,2025-04-01T09:41:00+02:00,9
0.041430646950078386,0.25674200149768694,0.2048107904516882,0.02527362477401067,0.0994731604814944,0.26365763266975645,0.6642122372709334,0.0018481639421653383,-0.18451779686442457,-0.19124789556921526,0.14529190702120334,-0.026776695296636933,73.89193571015265,74.04,2025-04-01T09:41:03+02:00,12
0.08485050837024023,0.19231059193677472,0.06789876499470446,0.021862240472766265,0.06523677243835094,0.27356289465203204,0.9235300937988745,0.0001274359602574567,-0.15707702004097912,-0.1806472460805307,0.06691197709602381,-0.1086802546695218,79.41160612248085,79.79,2025-04-01T09:41:06+02:00,15
0.1167201972591625,0.17561678230274214,0.0628417994725554,0.021701634804530835,0.08473434665866571,0.2942255082995482,0.94403127064935,4.3643251913131924e-06,0.011366341922324389,-0.22837992992517953,-0.047385762508460355,0.035600649488684535,75.092992032333,75.66,2025-04-01T09:41:09+02:00,18
0.06003736656390889,0.1231184075396173,0.08331182980982173,0.015489293547522452,0.13700247161416268,0.3328296841582338,0.236289022192199,0.3616185131102266,0.10212361663282533,-0.19891714737574004,-0.4302284749830794,0.022804533605911722,66.41643621706245,66.26,2025-04-01T09:41:12+02:00,21
0.6599492617141187,0.32178473898001564,0.11154609957320134,0.12191904775365305,0.056970904067456835,0.1898267370573214,0.09472113512560351,0.1433984370073152,-0.18451779686442463,-0.07879870102263092,0.14417929325137502,0.08905242917512698,76.31887165478224,76.14,2025-04-01T09:41:15+02:00,24
0.9248066791801708,0.25337175132989803,0.09679256054391033,0.0361072767827281,0.08039125617110528,0.2870963101683481,0.15233387166357176,9.171990592246407e-05,0.17576569243363988,-0.0028595479208968285,-0.2101100286299702,-0.07761423749153969,63.75967731380417,62.29,2025-04-01T09:41:18+02:00,27
0.9394217707663436,0.11761494318086085,0.07876996983320747,0.06232853060327118,0.08908106416199833,0.21380904506562148,0.10302611978773908,1.5338522139159105e-06,0.3460575994548432,-0.017258898432212275,-0.1504187710974514,-0.11439935051131547,62.6250629732293,62.0,2025-04-01T09:41:21+02:00,30
0.9035726910801141,0.2838156125924782,0.986274514800951,0.014169087242509787,0.08304862292623935,0.28516335561265216,0.16387538340183203,2.5322665695051807e-06,-0.06272426612150989,-0.11314303721896127,0.00917087552823611,-0.008088022903976188,68.98917048910877,66.57,2025-04-01T09:41:24+02:00,33
0.22379155209213328,0.14759889953125666,0.9999903540302784,0.022386740644462288,0.04081691440697163,0.21257465644742887,0.22826318320463643,6.934583017152701e-07,-0.013143037218961266,-0.06356180831641267,0.041493205998572445,0.05000000000000001,71.81099711761959,69.49,2025-04-01T09:41:27+02:00,36
0.5736455440302717,0.22627911754960736,0.9949789707621958,0.029654933172084976,0.046948821709984406,0.2870655533952747,0.16240230622064608,3.2569223856090476e-07,-0.03713203435596425,-0.04344336196330355,0.030719095841793657,0.031311327607339304,73.41992537380138,71.55,2025-04-01T09:41:30+02:00,39
